c
c This is glucose 2.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c WARNING: for repeatability, setting FPU to use double precision
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:        612968                                                                   |
c |  Number of clauses:         1557903                                                                   |
c |  Parse time:                   0.47 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   4000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       61         0      163 |  361034  1536303  3432840 |     1     8019      252     1980 | 41.101 % |
c |      131         0      152 |  361034  1536303  3432840 |     3     7004      498    12995 | 41.101 % |
c |      180        13      166 |  361034  1536303  3432840 |     3    17004      800    12995 | 41.101 % |
c |      240        15      166 |  361034  1536303  3432840 |     4    17733     1113    22266 | 41.101 % |
c |      304        16      164 |  361034  1536303  3432840 |     5    15948     1398    34051 | 41.101 % |
c |      377        32      159 |  361034  1536303  3432840 |     5    25948     1706    34051 | 41.101 % |
c |      452        34      154 |  361034  1536303  3432840 |     6    21812     1884    48187 | 41.101 % |
c |      514        41      155 |  361034  1536303  3432840 |     6    31812     2111    48187 | 41.101 % |
c |      578        44      155 |  361034  1536303  3432840 |     7    26175     2346    63824 | 41.101 % |
c |      658        52      151 |  361034  1536303  3432840 |     7    36175     2537    63824 | 41.101 % |
c |      738        52      149 |  361034  1536303  3432840 |     8    27295     2731    82704 | 41.101 % |
c |      801        56      149 |  361034  1536303  3432840 |     8    37295     2930    82704 | 41.101 % |
c |      860        70      151 |  360938  1536207  3432552 |     9    26175     3184   103819 | 41.116 % |
c |      924        79      151 |  360938  1536207  3432552 |     9    36175     3330   103819 | 41.116 % |
c |     1003        89      149 |  360892  1536161  3432414 |     9    46167     3527   103819 | 41.124 % |
c |     1077        98      148 |  360892  1536161  3432414 |    10    32439     3655   127547 | 41.124 % |
c |     1146       112      148 |  360892  1536161  3432414 |    10    42439     3886   127547 | 41.124 % |
c |     1224       114      147 |  360892  1536161  3432414 |    10    52439     4030   127547 | 41.124 % |
c |     1313       117      144 |  360892  1536161  3432414 |    11    36555     4179   153431 | 41.124 % |
c |     1378       120      145 |  360892  1536161  3432414 |    11    46555     4298   153431 | 41.124 % |
c |     1464       120      143 |  360892  1536161  3432414 |    11    56555     4398   153431 | 41.124 % |
c |     1512       127      145 |  360892  1536161  3432414 |    12    38159     4478   181827 | 41.124 % |
c |     1585       128      145 |  360892  1536161  3432414 |    12    48159     4577   181827 | 41.124 % |
c |     1649       130      145 |  360892  1536161  3432414 |    12    58159     4709   181827 | 41.124 % |
c |     1738       135      143 |  360892  1536161  3432414 |    12    68159     4786   181827 | 41.124 % |
c |     1818       137      143 |  360892  1536161  3432414 |    13    45847     4838   214139 | 41.124 % |
c |     1894       137      142 |  360892  1536161  3432414 |    13    55847     4941   214139 | 41.124 % |
c |     1978       144      141 |  360892  1536161  3432414 |    13    65847     5022   214139 | 41.124 % |
c |     2057       148      140 |  360892  1536161  3432414 |    13    75847     5104   214139 | 41.124 % |
c |     2158       151      139 |  360892  1536161  3432414 |    14    52121     5164   247865 | 41.124 % |
c |     2230       158      139 |  360892  1536161  3432414 |    14    62121     5199   247865 | 41.124 % |
c |     2318       159      138 |  360892  1536161  3432414 |    14    72121     5252   247865 | 41.124 % |
c |     2394       163      137 |  360892  1536161  3432414 |    14    82121     5291   247865 | 41.124 % |
c |     2458       167      138 |  360892  1536161  3432414 |    15    55233     5349   284753 | 41.124 % |
c |     2491       171      140 |  360892  1536161  3432414 |    15    65233     5380   284753 | 41.124 % |
c |     2567       173      140 |  360892  1536161  3432414 |    15    75233     5421   284753 | 41.124 % |
c |     2667       174      138 |  360892  1536161  3432414 |    15    85233     5460   284753 | 41.124 % |
c |     2743       176      138 |  360892  1536161  3432414 |    16    55277     5502   324709 | 41.124 % |
c |     2826       176      138 |  360892  1536161  3432414 |    16    65277     5543   324709 | 41.124 % |
c |     2907       181      137 |  360892  1536161  3432414 |    16    75277     5581   324709 | 41.124 % |
c |     3014       183      136 |  360892  1536161  3432414 |    16    85277     5633   324709 | 41.124 % |
c |     3085       183      136 |  360892  1536161  3432414 |    16    95277     5673   324709 | 41.124 % |
