c
c This is glucose 2.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c WARNING: for repeatability, setting FPU to use double precision
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:        370690                                                                   |
c |  Number of clauses:          908553                                                                   |
c |  Parse time:                   0.28 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   4000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       62         0      161 |  212552   892953  1997858 |     1     8013      257     1986 | 42.660 % |
c |      135         0      148 |  212552   892953  1997858 |     3     7013      471    12986 | 42.660 % |
c |      205         0      146 |  212552   892953  1997858 |     3    17013      647    12986 | 42.660 % |
c |      290         0      137 |  212552   892953  1997858 |     4    17720      830    22279 | 42.660 % |
c |      373         0      134 |  212552   892953  1997858 |     5    15864      960    34135 | 42.660 % |
c |      475         0      126 |  212552   892953  1997858 |     5    25864     1110    34135 | 42.660 % |
c |      568         0      123 |  212552   892953  1997858 |     6    21438     1222    48561 | 42.660 % |
c |      639         0      125 |  212552   892953  1997858 |     6    31438     1324    48561 | 42.660 % |
c |      723         0      124 |  212552   892953  1997858 |     7    24488     1442    65511 | 42.660 % |
c |      811         0      123 |  212552   892953  1997858 |     7    34488     1523    65511 | 42.660 % |
c |      905         0      121 |  212552   892953  1997858 |     8    24881     1612    85118 | 42.660 % |
c |     1005         0      119 |  212552   892953  1997858 |     8    34881     1701    85118 | 42.660 % |
c |     1084         0      119 |  212552   892953  1997858 |     9    23328     1755   106671 | 42.660 % |
c |     1170         0      119 |  212552   892953  1997858 |     9    33328     1850   106671 | 42.660 % |
c |     1263         0      118 |  212552   892953  1997858 |     9    43328     1935   106671 | 42.660 % |
c |     1342         0      119 |  212552   892953  1997858 |    10    28794     2009   131205 | 42.660 % |
c |     1434         0      118 |  212552   892953  1997858 |    10    38794     2079   131205 | 42.660 % |
c |     1539         0      116 |  212552   892953  1997858 |    10    48794     2154   131205 | 42.660 % |
c |     1625         0      116 |  212552   892953  1997858 |    11    31910     2231   158089 | 42.660 % |
c |     1705         0      117 |  212552   892953  1997858 |    11    41910     2299   158089 | 42.660 % |
c |     1794         0      117 |  212552   892953  1997858 |    11    51910     2367   158089 | 42.660 % |
c |     1881         0      116 |  212552   892953  1997858 |    12    32338     2425   187661 | 42.660 % |
c |     1944         0      118 |  212552   892953  1997858 |    12    42338     2471   187661 | 42.660 % |
c |     2037         0      117 |  212552   892953  1997858 |    12    52338     2540   187661 | 42.660 % |
c |     2133         0      117 |  212552   892953  1997858 |    12    62338     2634   187661 | 42.660 % |
c |     2223         0      116 |  212552   892953  1997858 |    13    39831     2726   220168 | 42.660 % |
c |     2297         0      117 |  212552   892953  1997858 |    13    49831     2792   220168 | 42.660 % |
c |     2387         0      117 |  212552   892953  1997858 |    13    59831     2878   220168 | 42.660 % |
c |     2467         0      117 |  212552   892953  1997858 |    13    69831     2944   220168 | 42.660 % |
c |     2531         0      118 |  212552   892953  1997858 |    14    44594     3028   255405 | 42.660 % |
c |     2595         0      119 |  212552   892953  1997858 |    14    54594     3099   255405 | 42.660 % |
c |     2683         0      119 |  212552   892953  1997858 |    14    64594     3182   255405 | 42.660 % |
c |     2766         0      119 |  212552   892953  1997858 |    14    74594     3274   255405 | 42.660 % |
c |     2847         0      119 |  212552   892953  1997858 |    15    47111     3401   292888 | 42.660 % |
c |     2899         0      120 |  212552   892953  1997858 |    15    57111     3438   292888 | 42.660 % |
c |     2990         0      120 |  212552   892953  1997858 |    15    67111     3519   292888 | 42.660 % |
c |     3070         0      120 |  212552   892953  1997858 |    15    77111     3602   292888 | 42.660 % |
c |     3146         0      120 |  212552   892953  1997858 |    16    47235     3655   332764 | 42.660 % |
c |     3227         0      120 |  212552   892953  1997858 |    16    57235     3716   332764 | 42.660 % |
c |     3292         0      121 |  212552   892953  1997858 |    16    67235     3779   332764 | 42.660 % |
c |     3372         0      121 |  212552   892953  1997858 |    16    77235     3837   332764 | 42.660 % |
c |     3465         0      121 |  212552   892953  1997858 |    16    87235     3887   332764 | 42.660 % |
c |     3564         0      120 |  212552   892953  1997858 |    17    55072     3943   374927 | 42.660 % |
