c
c This is glucose 2.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c WARNING: for repeatability, setting FPU to use double precision
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:        631879                                                                   |
c |  Number of clauses:         1606062                                                                   |
c |  Parse time:                   0.49 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   4000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       60         0      166 |  372036  1583662  3540560 |     1     8005      329     1994 | 41.122 % |
c |      106         3      188 |  372036  1583662  3540560 |     3     6974      553    13025 | 41.122 % |
c |      166         3      180 |  372036  1583662  3540560 |     3    16974      761    13025 | 41.122 % |
c |      226         3      176 |  372036  1583662  3540560 |     4    17721      996    22278 | 41.122 % |
c |      288         4      173 |  372036  1583662  3540560 |     5    15866     1213    34133 | 41.122 % |
c |      357         4      168 |  372036  1583662  3540560 |     5    25866     1335    34133 | 41.122 % |
c |      396        10      176 |  372036  1583662  3540560 |     6    21432     1456    48567 | 41.122 % |
c |      469        15      170 |  372036  1583662  3540560 |     6    31432     1592    48567 | 41.122 % |
c |      521        18      172 |  372036  1583662  3540560 |     7    24452     1720    65547 | 41.122 % |
c |      578        18      173 |  372036  1583662  3540560 |     7    34452     1871    65547 | 41.122 % |
c |      638        19      172 |  372036  1583662  3540560 |     8    24844     1992    85155 | 41.122 % |
c |      707        19      169 |  372036  1583662  3540560 |     8    34844     2099    85155 | 41.122 % |
c |      791        19      164 |  372036  1583662  3540560 |     9    22621     2209   107378 | 41.122 % |
c |      831        29      168 |  372036  1583662  3540560 |     9    32621     2336   107378 | 41.122 % |
c |      886        30      169 |  372036  1583662  3540560 |     9    42621     2451   107378 | 41.122 % |
c |      942        30      169 |  372036  1583662  3540560 |    10    27917     2555   132082 | 41.122 % |
c |      998        30      170 |  372036  1583662  3540560 |    10    37917     2626   132082 | 41.122 % |
c |     1056        30      170 |  372036  1583662  3540560 |    10    47917     2671   132082 | 41.122 % |
c |     1101        38      172 |  372036  1583662  3540560 |    11    30470     2768   159529 | 41.122 % |
c |     1151        42      173 |  372036  1583662  3540560 |    11    40470     2867   159529 | 41.122 % |
c |     1209        43      173 |  372036  1583662  3540560 |    11    50470     2962   159529 | 41.122 % |
c |     1264        48      174 |  372036  1583662  3540560 |    12    30492     3033   189507 | 41.122 % |
c |     1315        54      174 |  372036  1583662  3540560 |    12    40492     3115   189507 | 41.122 % |
c |     1348        66      178 |  372036  1583662  3540560 |    12    50492     3203   189507 | 41.122 % |
c |     1403        69      178 |  372036  1583662  3540560 |    12    60492     3266   189507 | 41.122 % |
c |     1452        69      179 |  372036  1583662  3540560 |    13    38001     3300   221998 | 41.122 % |
c |     1489        77      181 |  372036  1583662  3540560 |    13    48001     3407   221998 | 41.122 % |
c |     1532        78      182 |  372036  1583662  3540560 |    13    58001     3450   221998 | 41.122 % |
c |     1610        81      180 |  372036  1583662  3540560 |    13    68001     3506   221998 | 41.122 % |
c |     1668        81      179 |  372036  1583662  3540560 |    14    42727     3581   257272 | 41.122 % |
c |     1698       100      182 |  372036  1583662  3540560 |    14    52727     3667   257272 | 41.122 % |
c |     1765       106      181 |  372036  1583662  3540560 |    14    62727     3737   257272 | 41.122 % |
c |     1829       111      180 |  372036  1583662  3540560 |    14    72727     3784   257272 | 41.122 % |
c |     1900       112      178 |  372036  1583662  3540560 |    15    44907     3849   295092 | 41.122 % |
c |     1942       112      180 |  372036  1583662  3540560 |    15    54907     3905   295092 | 41.122 % |
c |     2016       112      178 |  372036  1583662  3540560 |    15    64907     3943   295092 | 41.122 % |
c |     2077       115      178 |  372036  1583662  3540560 |    15    74907     3966   295092 | 41.122 % |
c |     2142       120      177 |  372036  1583662  3540560 |    16    44466     4007   335533 | 41.122 % |
c |     2203       121      177 |  372036  1583662  3540560 |    16    54466     4042   335533 | 41.122 % |
c |     2273       121      175 |  372036  1583662  3540560 |    16    64466     4097   335533 | 41.122 % |
c |     2344       123      174 |  372036  1583662  3540560 |    16    74466     4132   335533 | 41.122 % |
c |     2399       123      175 |  372036  1583662  3540560 |    16    84466     4168   335533 | 41.122 % |
